UNITID,school,2007,2016,change
230816,Bennington College,723.0,805.0,0.11341632088520055
230834,Castleton University,2144.0,2342.0,0.09235074626865672
230852,Champlain College,2796.0,4778.0,0.7088698140200286
230861,Community College of Vermont,5608.0,5863.0,0.04547075606276747
230889,Goddard College,678.0,505.0,-0.2551622418879056
230898,Green Mountain College,823.0,755.0,-0.08262454434993925
230913,Johnson State College,1867.0,1525.0,-0.18318157471880023
230931,Lyndon State College,1415.0,1256.0,-0.11236749116607773
230940,Marlboro College,313.0,198.0,-0.36741214057507987
230959,Middlebury College,2500.0,2549.0,0.0196
230977,New England Culinary Institute,456.0,300.0,-0.34210526315789475
230995,Norwich University,3442.0,4219.0,0.22574084834398606
231059,Saint Michael's College,2449.0,2226.0,-0.09105757452021233
231068,SIT Graduate Institute,616.0,294.0,-0.5227272727272727
231077,College of St Joseph,442.0,318.0,-0.28054298642533937
231086,Southern Vermont College,410.0,374.0,-0.08780487804878048
231095,Sterling College,106.0,146.0,0.37735849056603776
231147,Vermont Law School,624.0,581.0,-0.06891025641025642
231165,Vermont Technical College,1556.0,1645.0,0.05719794344473008
231174,University of Vermont,12239.0,13105.0,0.07075741482147234
247649,Landmark College,481.0,468.0,-0.02702702702702703
440411,Marlboro College Graduate & Professional Studies,44.0,71.0,0.6136363636363636
